pred,truth,title,explanation
True,True,"The Littlest Pet Shop: Little Pets, Big Adventures","{
  ""reccomend"": true
}"
True,True,Family Matters:S3 (DVD),"{
  ""reccomend"": true
}"
False,False,The Love Guru,"{
  ""reccomend"": false
}"
True,True,Game of Thrones: Season 3,"{
  ""reccomend"": true
}"
True,True,"One Piece: Season 4, Voyage Four","{
  ""reccomend"": true
}"
True,True,Olympus has Fallen,"{
  ""reccomend"": true
}"
False,True,The Ninja-Thon Collection: Ninja She-Devil / I Was a Teenage Ninja / The Naked Sword,"{
  ""reccomend"": false
}"
True,True,Chitty Chitty Bang Bang,"{
  ""reccomend"": true
}"
True,True,Frasier: Season 2,"{
  ""reccomend"": true
}"
True,True,Star Trek Enterprise - The Complete Second Season,"{
  ""reccomend"": true
}"
True,False,All Is Lost 2013,"{
  ""reccomend"": true
}"
True,True,Rio,"{
  ""reccomend"": true
}"
False,True,I Am Wrath 2016,"{
  ""reccomend"": false
}"
True,False,Masterpiece Theatre: Elizabeth I - The Virgin Queen,"{
  ""reccomend"": true
}"
False,True,Murder of Innocence Region 2,"{
  ""reccomend"": false
}"
True,True,Yu Yu Hakusho: Ghost Files: Season 1,"{
  ""reccomend"": true
}"
True,True,Fury 2014,"{
  ""reccomend"": true
}"
True,True,Forensic Files: The Best of Season One,"{
  ""reccomend"": true
}"
True,True,The Muppets,"{
  ""reccomend"": true
}"
True,True,Indiana Jones: The Complete Adventures (Raiders of the Lost Ark / Temple of Doom / Last Crusade / Kingdom of the Crystal Skull),"{
  ""reccomend"": true
}"
True,False,Two Ninas,"{
  ""reccomend"": true
}"
False,True,Suspiria VHS,"{
  ""reccomend"": false
}"
False,True,Ong Bak 3,"{
  ""reccomend"": false
}"
True,True,The Borgias: Season 2,"{
  ""reccomend"": true
}"
True,True,Unknown,"{
  ""reccomend"": true
}"
True,True,Maleficent,"{
  ""reccomend"": true
}"
False,True,American Experience: Murder of a President,"{
  ""reccomend"": false
}"
True,True,Aladdin VHS  1995,"{
  ""reccomend"": true
}"
True,True,True Blood: Season 5,"{
  ""reccomend"": true
}"
True,True,Short Eyes,"{
  ""reccomend"": true
}"
True,True,Central Intelligence,"{
  ""reccomend"": true
}"
True,True,Superman: The Animated Series - Volume 2,"{
  ""reccomend"": true
}"
True,True,Double Feature: (Love Me or Leave Me / The Ideal Husband),"{
  ""reccomend"": true
}"
True,True,The Other Guys,"{
  ""reccomend"": true
}"
True,True,Unstoppable,"{
  ""reccomend"": true
}"
True,True,ER: Season 7,"{
  ""reccomend"": true
}"
True,False,The Visit,"{
  ""reccomend"": true
}"
True,True,Naruto Shippuden: Set Five,"{
  ""reccomend"": true
}"
True,True,Deadwood: Season 2,"{
  ""reccomend"": true
}"
True,True,RocknRolla,"{
  ""reccomend"": true
}"
True,True,Transformers 3: Dark of the Moon,"{
  ""reccomend"": true
}"
True,True,Masterpiece Mystery: Endeavour Series 1,"{
  ""reccomend"": true
}"
True,True,Tooth Fairy,"{
  ""reccomend"": true
}"
True,False,Automata,"{
  ""reccomend"": true
}"
True,True,"George Gently, Series 7","{
  ""reccomend"": true
}"
True,False,Colombiana,"{
  ""reccomend"": true
}"
True,True,Star Trek Into Darkness,"{
  ""reccomend"": true
}"
True,True,Gunsmoke:One Man's Justice VHS,"{
  ""reccomend"": true
}"
True,False,Tyler Perry's The Single Moms Club Digital,"{
  ""reccomend"": true
}"
True,True,Married... with Children: Season 10,"{
  ""reccomend"": true
}"
True,False, Arthur,"{
  ""reccomend"": true
}"
True,True,Witness for the Prosecution VHS,"{
  ""reccomend"": true
}"
True,True,Be Cool VHS,"{
  ""reccomend"": true
}"
True,True,The Amazing Spider-Man 2 2014,"{
  ""reccomend"": true
}"
False,False,Warehouse 13: Season One,"{
  ""reccomend"": false
}"
True,True,Fast &amp; Furious 6,"{
  ""reccomend"": true
}"
True,True,School of Rock,"{
  ""reccomend"": true
}"
True,False,Bone Tomahawk,"{
  ""reccomend"": true
}"
True,True,Inkheart (DVD),"{
  ""reccomend"": true
}"
True,False,Test Big Data 1737,"{
  ""reccomend"": true
}"
True,True,Interstellar [DVD] [2014],"{
  ""reccomend"": true
}"
False,True,The Magnificent Seven Ride,"{
  ""reccomend"": false
}"
True,True,"Boyz 'N the Hood, Baby Boy, Poetic Justice","{
  ""reccomend"": true
}"
True,True,Guardians of the Galaxy,"{
  ""reccomend"": true
}"
True,True,The Glades: Season 2,"{
  ""reccomend"": true
}"
True,True,High School DxD New: The Series,"{
  ""reccomend"": true
}"
True,True,The Christmas Card,"{
  ""reccomend"": true
}"
False,True,Boardwalk Empire: Season 2,"{
  ""reccomend"": false
}"
True,True,Counterstrike,"{
  ""reccomend"": true
}"
False,False,The Town 2010  2011 Ben Affleck; Rebecca Hall; Jon Hamm,"{
  ""reccomend"": false
}"
True,True,The 10th Victim,"{
  ""reccomend"": true
}"
