pred,truth,title,explanation
True,True,My Little Pony Friendship Is Magic: Season 2,"{
  ""reccomend"": true
}"
True,True,Family Matters: Season 3,"{
  ""reccomend"": true
}"
True,True,The Three Musketeers  anglais,"{
  ""reccomend"": true
}"
True,True,Hercules The Legendary Journeys - Season Three Video Set VHS,"{
  ""reccomend"": true
}"
False,True,The Dead Zone: Season 4,"{
  ""reccomend"": false
}"
True,True,Rocketeer VHS,"{
  ""reccomend"": true
}"
False,True,Nihombie!: The Complete Japanese Trilogy (Zombie Self-Defense Force / Attack Girls' Swimteam vs. the Undead / Zombie Hunter Rika),"{
  ""reccomend"": false
}"
True,True,The Hobbit: An Unexpected Journey,"{
  ""reccomend"": true
}"
True,True,A Merry Friggin' Christmas [Blu-ray],"{
  ""reccomend"": true
}"
True,True,Star Trek Generations VHS,"{
  ""reccomend"": true
}"
True,True,Moodtapes: Pacific Surf,"{
  ""reccomend"": true
}"
True,True,The Incredibles (Mandarin Chinese Edition),"{
  ""reccomend"": true
}"
True,True,X-Men Collection,"{
  ""reccomend"": true
}"
True,True,The Hornet's Nest,"{
  ""reccomend"": true
}"
True,True,The Good Wife: Season 5,"{
  ""reccomend"": true
}"
True,True,Yu Yu Hakusho: Ghost Files: Season 1,"{
  ""reccomend"": true
}"
True,True,Ant-Man,"{
  ""reccomend"": true
}"
True,False,Day Watch / Dnevnoy Dozor - (PAL/R5 - Russian Import),"{
  ""reccomend"": true
}"
True,True,Swiss Family Robinson VHS,"{
  ""reccomend"": true
}"
True,True,Leslie Sansone: Walk To The Hits Party Songs,"{
  ""reccomend"": true
}"
True,False,Two Ninas,"{
  ""reccomend"": true
}"
False,True,Suspiria VHS,"{
  ""reccomend"": false
}"
True,True,Star Trek Into Darkness,"{
  ""reccomend"": true
}"
True,True,The Borgias: Season 3,"{
  ""reccomend"": true
}"
True,True,Chaos,"{
  ""reccomend"": true
}"
True,True,Cinderella: 1-3,"{
  ""reccomend"": true
}"
True,True,Nat Turner: A Troublesome Property,"{
  ""reccomend"": true
}"
True,True,The Water Horse: Legend of the Deep,"{
  ""reccomend"": true
}"
False,True,Dying of The Light,"{
  ""reccomend"": false
}"
True,False,Steel Magnolias,"{
  ""reccomend"": true
}"
False,True,The Evening Star VHS,"{
  ""reccomend"": false
}"
False,True,Funny or Die Presents: Season 1,"{
  ""reccomend"": false
}"
True,True,Motives 2 - Retribution,"{
  ""reccomend"": true
}"
True,True,The Other Guys,"{
  ""reccomend"": true
}"
True,True, Fireproof [Blu-ray],"{
  ""reccomend"": true
}"
True,True,ER: Season 4,"{
  ""reccomend"": true
}"
True,False,1408 Full Screen Edition,"{
  ""reccomend"": true
}"
True,True,Naruto Shippuden: Set Five,"{
  ""reccomend"": true
}"
True,True,John Adams,"{
  ""reccomend"": true
}"
True,True,Pride,"{
  ""reccomend"": true
}"
True,True,Gran Torino,"{
  ""reccomend"": true
}"
True,True,Goon,"{
  ""reccomend"": true
}"
True,True,Dr. Syn: The Scarecrow of Romney Marsh,"{
  ""reccomend"": true
}"
True,True,The Nice Guys,"{
  ""reccomend"": true
}"
True,True,Legacy: Volume Two,"{
  ""reccomend"": true
}"
True,False,Colombiana,"{
  ""reccomend"": true
}"
True,True,Star Trek Into Darkness,"{
  ""reccomend"": true
}"
True,True,Mister Ed: Season 5,"{
  ""reccomend"": true
}"
True,True,Jurassic World,"{
  ""reccomend"": true
}"
True,True,Married... with Children: Season 8,"{
  ""reccomend"": true
}"
True,False,Dallas Buyers Club,"{
  ""reccomend"": true
}"
True,True,A Touch of Frost: Complete Series,"{
  ""reccomend"": true
}"
False,True,"Sabrina, The Teenage Witch: Season 1","{
  ""reccomend"": false
}"
True,True,The Amazing Spider-Man 2 2014,"{
  ""reccomend"": true
}"
True,False,Warehouse 13: Season One,"{
  ""reccomend"": true
}"
True,False,John Wick,"{
  ""reccomend"": true
}"
True,True,Beasts of the Southern Wild,"{
  ""reccomend"": true
}"
True,True,Frasier: Season 1,"{
  ""reccomend"": true
}"
True,True,The Mummy,"{
  ""reccomend"": true
}"
True,True,Star Wars: The Force Awakens,"{
  ""reccomend"": true
}"
True,True,Yosemite: Ascending Rhythm,"{
  ""reccomend"": true
}"
True,False,Pirates of the Caribbean: The Curse of the Black Pearl,"{
  ""reccomend"": true
}"
True,True,Harvey Toons - The Complete Collection,"{
  ""reccomend"": true
}"
True,True,Step Brothers,"{
  ""reccomend"": true
}"
True,True,The Glades: Season 2,"{
  ""reccomend"": true
}"
False,True,Samurai Deeper Kyo - TV Series Perfect Collection,"{
  ""reccomend"": false
}"
True,True,Call Me Mrs. Miracle,"{
  ""reccomend"": true
}"
True,True,The Martian,"{
  ""reccomend"": true
}"
True,True,Abducted,"{
  ""reccomend"": true
}"
True,False,The Natural VHS,"{
  ""reccomend"": true
}"
True,True,Flareup,"{
  ""reccomend"": true
}"
True,True,Rocky: The Undisputed Collection,"{
  ""reccomend"": true
}"
True,True,John Wick,"{
  ""reccomend"": true
}"
True,True,Chitty Chitty Bang Bang VHS,"{
  ""reccomend"": true
}"
